code,label
"lst = 1 + ""text""",TypeError
"var = 1 + ""world""",TypeError
"x = 1 + ""text""",TypeError
"x = 1 + ""hello""",TypeError
"mylist = 1 + ""world""",TypeError
len(100),TypeError
"var = 1 + ""python""",TypeError
len(0),TypeError
"sum(""world"")",TypeError
len(100),TypeError
len(2),TypeError
"lst = 1 + ""world""",TypeError
"sum(""text"")",TypeError
"lst = 1 + ""python""",TypeError
"sum(""python"")",TypeError
"b = 1 + ""error""",TypeError
len(10),TypeError
"y = 1 + ""world""",TypeError
len(0),TypeError
len(1),TypeError
len(100),TypeError
"data = 1 + ""text""",TypeError
len(42),TypeError
"lst = 1 + ""text""",TypeError
"sum(""python"")",TypeError
len(42),TypeError
len(100),TypeError
"mylist = 1 + ""error""",TypeError
"sum(""python"")",TypeError
len(42),TypeError
"lst = 1 + ""hello""",TypeError
len(1),TypeError
"sum(""hello"")",TypeError
len(100),TypeError
"sum(""text"")",TypeError
len(0),TypeError
len(42),TypeError
"foo = 1 + ""world""",TypeError
len(100),TypeError
"a = 1 + ""text""",TypeError
"sum(""python"")",TypeError
len(42),TypeError
"y = 1 + ""error""",TypeError
"b = 1 + ""python""",TypeError
"sum(""text"")",TypeError
len(2),TypeError
len(2),TypeError
"sum(""hello"")",TypeError
"a = 1 + ""error""",TypeError
"sum(""hello"")",TypeError
"sum(""python"")",TypeError
"mylist = 1 + ""error""",TypeError
"sum(""python"")",TypeError
len(100),TypeError
"mylist = 1 + ""world""",TypeError
"x = 1 + ""error""",TypeError
len(42),TypeError
len(42),TypeError
len(10),TypeError
"data = 1 + ""hello""",TypeError
"foo = 1 + ""text""",TypeError
"sum(""error"")",TypeError
len(1),TypeError
"sum(""world"")",TypeError
"b = 1 + ""hello""",TypeError
"bar = 1 + ""error""",TypeError
"sum(""world"")",TypeError
"bar = 1 + ""error""",TypeError
"data = 1 + ""hello""",TypeError
len(42),TypeError
"foo = 1 + ""hello""",TypeError
"y = 1 + ""hello""",TypeError
len(1),TypeError
len(0),TypeError
"sum(""hello"")",TypeError
len(100),TypeError
len(42),TypeError
"lst = 1 + ""world""",TypeError
"sum(""error"")",TypeError
"sum(""python"")",TypeError
"sum(""world"")",TypeError
"sum(""world"")",TypeError
"data = 1 + ""text""",TypeError
len(1),TypeError
"dct = 1 + ""python""",TypeError
"sum(""world"")",TypeError
"y = 1 + ""text""",TypeError
"sum(""python"")",TypeError
len(42),TypeError
"data = 1 + ""hello""",TypeError
len(2),TypeError
len(0),TypeError
"bar = 1 + ""text""",TypeError
"sum(""text"")",TypeError
"sum(""world"")",TypeError
"mylist = 1 + ""error""",TypeError
len(42),TypeError
"sum(""error"")",TypeError
"mylist = 1 + ""world""",TypeError
"sum(""python"")",TypeError
"sum(""python"")",TypeError
"sum(""hello"")",TypeError
"lst = 1 + ""text""",TypeError
"b = 1 + ""hello""",TypeError
"bar = 1 + ""world""",TypeError
"sum(""world"")",TypeError
"y = 1 + ""hello""",TypeError
"x = 1 + ""python""",TypeError
"mylist = 1 + ""python""",TypeError
"foo = 1 + ""python""",TypeError
"sum(""python"")",TypeError
"sum(""world"")",TypeError
"mylist = 1 + ""hello""",TypeError
"sum(""python"")",TypeError
len(42),TypeError
"var = 1 + ""text""",TypeError
"x = 1 + ""text""",TypeError
len(0),TypeError
"sum(""text"")",TypeError
"sum(""hello"")",TypeError
"data = 1 + ""hello""",TypeError
len(0),TypeError
len(42),TypeError
len(2),TypeError
"sum(""python"")",TypeError
"sum(""python"")",TypeError
len(10),TypeError
"sum(""python"")",TypeError
len(1),TypeError
len(0),TypeError
"a = 1 + ""text""",TypeError
"data = 1 + ""text""",TypeError
"sum(""text"")",TypeError
"sum(""text"")",TypeError
len(0),TypeError
len(2),TypeError
"a = 1 + ""error""",TypeError
"sum(""hello"")",TypeError
